port,year,count,changeYoY,pctChangeYoY
Whitetail,1996,0,,
Whitetail,1997,0,0,
Whitetail,1998,0,0,
Whitetail,1999,0,0,
Whitetail,2000,0,0,
Whitetail,2001,0,0,
Whitetail,2002,0,0,
Whitetail,2003,0,0,
Whitetail,2004,0,0,
Whitetail,2005,0,0,
Whitetail,2006,0,0,
Whitetail,2007,0,0,
Whitetail,2008,0,0,
Whitetail,2009,0,0,
Whitetail,2010,0,0,
Whitetail,2011,0,0,
Whitetail,2012,0,0,
Whitetail,2013,0,0,
Whitetail,2014,,,
Whitetail,2015,,,
Whitetail,2016,,,
Whitetail,2017,,,
Whitetail,2018,,,
Whitetail,2019,,,
Whitetail,2020,,,
Whitetail,2021,,,
Whitetail,2022,,,
Whitetail,2023,,,
Whitetail,2024,,,
Whitetail,2025,,,
